"order_month","product_category_name","order_count"
"2017-04","moveis_decoracao","201"
"2018-05","perfumaria","201"
"2017-07","brinquedos","200"
"2017-03","esporte_lazer","200"
"2018-07","perfumaria","199"
"2018-04","cool_stuff","199"
"2017-11","fashion_bolsas_e_acessorios","198"
"2017-05","brinquedos","196"
"2018-04","brinquedos","195"
"2017-08","brinquedos","191"
"2017-12",NULL,"191"
"2017-07","ferramentas_jardim","190"
"2018-06","brinquedos","190"
"2018-02","cool_stuff","189"
"2018-06","perfumaria","189"
"2018-06","eletronicos","189"
"2017-10","perfumaria","188"
"2018-06","ferramentas_jardim","187"
"2018-05","cool_stuff","187"
"2017-04","beleza_saude","186"
"2017-04","utilidades_domesticas","184"
"2018-07","papelaria","184"
"2017-09","telefonia","180"
"2018-08","papelaria","179"
"2017-11","eletronicos","179"
"2017-01","moveis_decoracao","179"
"2018-06","pet_shop","177"
"2017-09","bebes","173"
"2017-03","telefonia","173"
"2018-02","bebes","173"
"2018-08","brinquedos","172"
"2018-04","perfumaria","172"
"2017-02","beleza_saude","172"
"2017-03","informatica_acessorios","171"
"2018-07","ferramentas_jardim","169"
"2018-03","papelaria","169"
"2017-07","relogios_presentes","167"
"2018-04","pet_shop","167"
"2018-01","brinquedos","166"
"2018-06","papelaria","165"
"2017-08","automotivo","164"
"2018-08","construcao_ferramentas_construcao","163"
"2017-02","cama_mesa_banho","162"
"2017-11","papelaria","162"
"2017-06","telefonia","161"
"2017-06","brinquedos","160"
"2018-07","eletronicos","160"
"2018-07","pet_shop","159"
"2017-09","perfumaria","159"
"2018-07","brinquedos","156"
"2018-02","papelaria","156"
"2017-06","perfumaria","155"
"2018-03",NULL,"155"
"2018-04","papelaria","154"
"2017-02","esporte_lazer","154"
"2018-02",NULL,"154"
"2017-03","ferramentas_jardim","150"
"2017-10","automotivo","149"
"2017-12","bebes","148"
"2018-08","ferramentas_jardim","148"
NULL,NULL,"147"
"2018-02","brinquedos","145"
"2018-01","moveis_escritorio","145"
"2017-04","telefonia","144"
"2017-07","telefonia","144"
"2017-05","ferramentas_jardim","142"
"2017-05","perfumaria","142"
"2018-05","pet_shop","138"
"2017-11","consoles_games","138"
"2018-03","fashion_bolsas_e_acessorios","137"
"2017-10","bebes","136"
"2017-05","relogios_presentes","135"
"2018-04","moveis_escritorio","135"
"2017-08","telefonia","134"
"2017-04","informatica_acessorios","134"
"2017-08","bebes","134"
"2017-12","fashion_bolsas_e_acessorios","132"
"2018-05","papelaria","131"
"2017-10",NULL,"130"
"2018-01","malas_acessorios","129"
"2018-08","fashion_bolsas_e_acessorios","129"
"2018-08","cool_stuff","127"
"2018-01","fashion_bolsas_e_acessorios","127"
"2017-08","perfumaria","127"
"2017-07","bebes","127"
"2017-03","cool_stuff","127"
"2017-07","perfumaria","127"
"2017-05","automotivo","126"
"2017-05",NULL,"126"
"2017-06","relogios_presentes","124"
"2018-03","pet_shop","124"
"2018-05","construcao_ferramentas_construcao","124"
"2017-09","fashion_bolsas_e_acessorios","122"
"2017-04","cool_stuff","121"
"2018-08","eletronicos","121"
"2017-04","ferramentas_jardim","120"
"2018-07","cool_stuff","119"
"2017-07","automotivo","119"
"2018-08","alimentos","118"
"2018-07","construcao_ferramentas_construcao","117"
"2018-05","fashion_bolsas_e_acessorios","116"
"2017-04","brinquedos","115"
"2017-09",NULL,"113"
"2017-07","moveis_escritorio","113"
"2017-07",NULL,"112"
"2018-06","construcao_ferramentas_construcao","112"
"2017-10","fashion_bolsas_e_acessorios","112"
"2017-06","ferramentas_jardim","112"
"2017-06","automotivo","111"
"2017-05","bebes","109"
"2017-09","automotivo","109"
"2017-03",NULL,"109"
"2017-05","fashion_bolsas_e_acessorios","107"
"2017-08",NULL,"107"
"2017-02","informatica_acessorios","107"
"2017-04","perfumaria","107"
"2018-02","fashion_bolsas_e_acessorios","107"
"2018-04","eletrodomesticos","106"
"2018-05","moveis_escritorio","106"
"2017-03","perfumaria","105"
